Personnel,Institution,Role,Research Focus
Alexa Halford,NASA/GSFC, PI, Geomagnetic storms and substorms, Wave generation and Wave-Particle Interactions and Impact in Atmosphere Including Auroral and High Energy Precipitation
Kyle Murphy,Contractor, Deputy PI, Wave-Particle Interactions, Auroral and High Energy Precipitation
Jeff Klenzing,NASA/GSFC, Impact Lead, Model/Data Comparison Focused on the Impacts to the Ionosphere. Public Open-Source software development/distribution
Aaron Breneman,NASA/GSFC, Medium Energy Lead, Multi-instrument analysis of auroral precipitation
Lauren Blum,UC Boulder, High Energy Lead, Spatiotemporal characteristics of high energy precipitation
David Sibeck,NASA/GSFC, Drivers Lead, Determine relative importance of SW drivers on magnetospheric activity 
Adam Kellerman,UCAL, Low Energy Lead," Verb development, validation, and model runs"
Marilia Samara,NASA/GSFC, Aurora Expert, Analysis of auroral precipitation spectra
Scott Luthcke,NASA/GSFC, Drag Expert, Satellite data for analysis of satellite drag
Katherine Garcia-Sage,NASA/GSFC, Modeling and Validation Expert, Coupling of ionospheric and magnetospheric models focused on low energy and impacts on ionosphere and satellite drag. 
Yihua Zheng,NASA/GSFC, Modeling Expert, Validation of new VERB model
Lutz Rastaetter,NASA/GSFC, Modeling Expert, Model integration and implementation with CCMC visualization and analysis tools.
Shri Kanekal,NASA/GSFC, Energetic Particle Expert, Analysis of shock-induced precipitation
Robert Michell,NASA/GSFC, Auroral Expert, Analysis of auroral precipitation spectra
Andy Inglis,CUA, Data Analysis and Solar Expert, Systematic identification of wave drivers and solar flares
Alessandro Bruno,CUA, Solar Expert, High energy precipitation data analysis 
Mike Shumko,NPP, Deputy Medium Energy Lead, Medium and high energy precipitation data analysis. Public open-source software development/distribution
Ashley Greeley,NPP, Deputy Drivers Lead, Analysis of shock induced precipitation
Samuel Walton, MSSL, Graduate Student, drivers and particle expert
Jaye Verniero, NASA/GSFC, Wave-Particle Expert, data analysis
Nithin Sivadas, CUA, System Science Expert, solar wind-magnetosphere-ionosphere coupling
Remya Bhanu, NPP, Wave-Particle Expert
Shipra Sinha, Indian Institute of Geomagnetism, Graduate student, Solar drivers of substorms, generation of waves and their impact on particle loss to the atmosphere. 
Biswajit Ojha, Indian Institute of Geomagnetism, Graduate student, EMIC waves at the Moon.
